assists,evGoals,evPoints,faceoffWinPct,gameDate,gameId,gameWinningGoals,gamesPlayed,goals,homeRoad,lastName,opponentTeamAbbrev,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrev,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts,seasonId
0,0,0,,2022-10-13,2022020012,0,1,0,R,Smith,PHI,0,0,8474090,-2,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,615.0,0,0.0,,0,,0,0,0.0,4,23.41,0,,0,1,,1,2,1,0,0.0,4,20222023
0,0,0,,2022-10-15,2022020028,0,1,0,H,Smith,DET,0,2,8474090,-1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,989.0,3,10.92,,0,,0,0,0.0,1,3.64,0,,0,0,,0,0,2,0,0.0,3,20222023
0,0,0,,2022-10-18,2022020048,0,1,0,H,Smith,ANA,0,9,8474090,0,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,567.0,0,0.0,,0,,0,1,6.34,3,19.04,0,,0,0,,1,1,0,1,6.34,3,20222023
0,0,0,,2022-10-20,2022020066,0,1,0,R,Smith,NYI,0,2,8474090,1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,929.0,4,15.5,,0,,0,0,0.0,1,3.87,0,,0,0,,0,0,1,0,0.0,1,20222023
0,0,0,,2022-10-22,2022020075,0,1,0,H,Smith,SJS,0,2,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,498.0,1,7.22,,0,,0,0,0.0,2,14.45,0,,0,0,,0,0,1,0,0.0,1,20222023
0,0,0,,2022-10-24,2022020093,0,1,0,H,Smith,WSH,0,0,8474090,-2,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,623.0,0,0.0,,0,,0,0,0.0,1,5.77,0,,0,0,,1,1,0,1,5.77,1,20222023
0,0,0,,2022-10-25,2022020102,0,1,0,R,Smith,DET,0,0,8474090,1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,952.0,0,0.0,,0,,0,0,0.0,1,3.78,0,,0,0,,0,0,0,0,0.0,1,20222023
0,0,0,,2022-10-28,2022020123,0,1,0,H,Smith,COL,0,0,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,874.0,0,0.0,,0,,0,0,0.0,3,12.35,0,,0,0,,0,0,1,0,0.0,1,20222023
0,0,0,,2022-10-30,2022020139,0,1,0,H,Smith,CBJ,0,0,8474090,1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,1023.0,0,0.0,,0,,0,0,0.0,2,7.03,0,,0,0,,0,0,0,0,0.0,0,20222023
0,0,0,,2022-11-01,2022020157,0,1,0,R,Smith,VAN,0,2,8474090,2,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,1119.0,0,0.0,,0,,0,2,6.43,3,9.65,0,,0,0,,1,1,1,1,3.21,4,20222023
0,0,0,,2022-11-03,2022020170,0,1,0,R,Smith,EDM,0,0,8474090,-1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,521.0,0,0.0,,0,,0,0,0.0,4,27.63,0,,0,0,,0,0,1,0,0.0,1,20222023
0,0,0,,2022-11-05,2022020187,0,1,0,R,Smith,CGY,0,0,8474090,-1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,580.0,0,0.0,,0,,0,1,6.2,2,12.41,0,,0,0,,0,0,0,1,6.2,1,20222023
0,0,0,,2022-11-08,2022020197,0,1,0,H,Smith,CGY,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,730.0,0,0.0,,0,,0,0,0.0,2,9.86,0,,0,0,,0,0,1,0,0.0,2,20222023
0,0,0,,2022-11-10,2022020213,0,1,0,H,Smith,OTT,0,4,8474090,0,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,796.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,0,0,,2,2,0,0,0.0,4,20222023
0,0,0,,2022-11-12,2022020227,0,1,0,H,Smith,ARI,0,0,8474090,1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,853.0,0,0.0,,0,,0,1,4.22,0,0.0,0,,0,0,,1,1,0,0,0.0,2,20222023
0,0,0,,2022-11-15,2022020249,0,1,0,R,Smith,MTL,0,2,8474090,0,0,0.0,D,0,0,0,0,0.0,L,3,Brendan Smith,NJD,887.0,3,12.17,,0,,0,0,0.0,1,4.05,0,,0,0,,1,1,3,0,0.0,7,20222023
1,0,1,,2022-11-17,2022020264,0,1,0,R,Smith,TOR,0,0,8474090,1,1,1.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,801.0,1,4.49,0.0,0,0.0,0,1,4.49,2,8.98,0,,0,1,,0,1,0,0,0.0,2,20222023
0,0,0,,2022-11-19,2022020274,0,1,0,R,Smith,OTT,0,0,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,983.0,1,3.66,,0,,0,0,0.0,2,7.32,0,,0,0,,1,1,3,0,0.0,4,20222023
0,0,0,,2022-11-21,2022020293,0,1,0,H,Smith,EDM,0,0,8474090,-1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,990.0,0,0.0,,0,,0,1,3.63,1,3.63,0,,0,0,,0,0,0,0,0.0,1,20222023
0,0,0,,2022-11-23,2022020308,0,1,0,H,Smith,TOR,0,0,8474090,-1,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,700.0,0,0.0,,0,,0,0,0.0,2,10.28,0,,0,0,,0,0,0,0,0.0,2,20222023
0,0,0,,2022-11-25,2022020327,0,1,0,R,Smith,BUF,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,894.0,1,4.02,,0,,0,0,0.0,2,8.05,0,,0,0,,0,0,0,1,4.02,2,20222023
0,0,0,,2022-11-26,2022020336,0,1,0,H,Smith,WSH,0,0,8474090,1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,967.0,3,11.16,,0,,0,1,3.72,0,0.0,0,,0,0,,0,0,0,0,0.0,0,20222023
0,0,0,,2022-11-28,2022020346,0,1,0,R,Smith,NYR,0,0,8474090,1,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,1112.0,4,12.94,,0,,0,1,3.23,1,3.23,0,,0,0,,0,0,0,0,0.0,2,20222023
0,0,0,,2022-12-01,2022020366,0,1,0,H,Smith,NSH,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,642.0,0,0.0,,0,,0,1,5.6,0,0.0,0,,0,0,,0,0,0,0,0.0,1,20222023
0,0,0,,2022-12-03,2022020382,0,1,0,R,Smith,PHI,0,2,8474090,2,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,985.0,1,3.65,,0,,0,2,7.3,4,14.61,0,,0,0,,1,1,0,0,0.0,1,20222023
0,0,0,,2022-12-06,2022020403,0,1,0,H,Smith,CHI,0,2,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,958.0,2,7.51,,0,,0,0,0.0,2,7.51,0,,0,0,,0,0,3,0,0.0,3,20222023
0,0,0,,2022-12-09,2022020425,0,1,0,H,Smith,NYI,0,0,8474090,-2,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,844.0,1,4.26,,0,,0,1,4.26,0,0.0,0,,0,0,,0,0,1,0,0.0,2,20222023
0,0,0,,2022-12-12,2022020450,0,1,0,R,Smith,NYR,0,0,8474090,1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,913.0,0,0.0,,0,,0,1,3.94,4,15.77,0,,0,1,,1,2,0,1,3.94,3,20222023
0,0,0,,2022-12-15,2022020473,0,1,0,H,Smith,PHI,0,5,8474090,0,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,831.0,1,4.33,,0,,0,0,0.0,2,8.66,0,,0,0,,1,1,1,2,8.66,4,20222023
0,0,0,,2022-12-17,2022020488,0,1,0,H,Smith,FLA,0,4,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,971.0,1,3.7,,0,,0,1,3.7,5,18.53,0,,0,0,,0,0,1,0,0.0,1,20222023
1,0,1,,2022-12-20,2022020512,0,1,0,R,Smith,CAR,0,2,8474090,0,1,1.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,1029.0,1,3.49,0.0,0,0.0,0,0,0.0,2,6.99,0,,0,0,,1,1,1,3,10.49,4,20222023
0,0,0,,2022-12-21,2022020518,0,1,0,R,Smith,FLA,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,1381.0,7,18.24,,0,,0,2,5.21,4,10.42,0,,0,0,,0,0,0,1,2.6,2,20222023
1,0,1,,2022-12-23,2022020533,0,1,0,H,Smith,BOS,0,0,8474090,0,1,1.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,1279.0,4,11.25,0.0,0,0.0,0,1,2.81,2,5.62,0,,0,0,,0,0,1,2,5.62,3,20222023
0,0,0,,2022-12-28,2022020558,0,1,0,H,Smith,BOS,0,0,8474090,-1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,1376.0,0,0.0,,0,,0,1,2.61,4,10.46,0,,0,0,,0,0,1,0,0.0,1,20222023
1,0,0,,2022-12-30,2022020576,0,1,0,R,Smith,PIT,0,0,8474090,1,1,1.0,D,0,0,0,1,0.0,L,1,Brendan Smith,NJD,1436.0,4,10.02,0.0,0,0.0,0,0,0.0,1,2.5,0,,0,0,,0,0,0,0,0.0,1,20222023
0,0,0,,2023-01-01,2022020590,0,1,0,H,Smith,CAR,0,0,8474090,-1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,1118.0,2,6.44,,0,,0,2,6.44,0,0.0,0,,0,0,,0,0,0,0,0.0,0,20222023
0,0,0,,2023-01-04,2022020609,0,1,0,R,Smith,DET,0,2,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,1154.0,0,0.0,,0,,0,1,3.11,1,3.11,0,,0,0,,0,0,0,0,0.0,0,20222023
0,0,0,,2023-01-05,2022020616,0,1,0,H,Smith,STL,0,0,8474090,1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,933.0,1,3.85,,0,,0,1,3.85,0,0.0,0,,0,1,,1,2,1,1,3.85,4,20222023
