assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts
15,12,27,0.46164,1,72,14,Staal,0,26,8470595,-5,29,0.40277,C,0,0,20222023,2,2,0.13207,L,106,Eric Staal,FLA,854.2222,45,2.63,1.0,2,3.0,2,31,1.81,27,1.58,0,,2,1,,33,36,41,33,1.93,183
22,3,20,,1,82,3,Suter,0,26,8470600,0,25,0.30487,D,0,4,20222023,0,1,0.0326,L,92,Ryan Suter,DAL,1222.7682,115,4.12,0.0,0,0.0,1,45,1.61,81,2.9,0,,1,6,,52,59,85,23,0.82,236
16,9,19,0.59381,2,79,13,Carter,1,30,8470604,-16,29,0.36708,C,4,9,20222023,0,1,0.09352,R,139,Jeff Carter,PIT,822.3797,54,2.99,1.0,2,3.0,0,33,1.82,80,4.43,0,,1,2,,42,45,56,26,1.44,240
13,16,27,0.37931,2,82,21,Parise,1,24,8470610,7,34,0.41463,L,3,4,20222023,2,3,0.11538,L,182,Zach Parise,NYI,968.7682,83,3.76,1.0,4,5.0,2,25,1.13,89,4.03,1,,1,3,,43,48,45,18,0.81,275
43,14,38,1.0,2,82,18,Burns,1,44,8470613,19,61,0.7439,D,4,23,20222023,0,0,0.07058,R,255,Brent Burns,CAR,1392.9146,86,2.71,1.0,0,1.0,6,52,1.63,40,1.26,1,,2,10,,98,111,188,55,1.73,554
13,6,13,,3,81,12,Perry,0,95,8470621,-28,25,0.30864,R,6,12,20222023,0,0,0.10344,R,116,Corey Perry,TBL,693.7407,25,1.6,0.0,0,0.0,1,26,1.66,48,3.07,0,,3,6,,40,49,29,30,1.92,194
31,16,37,0.61137,7,78,27,Bergeron,0,22,8470638,35,58,0.74358,C,9,19,20222023,2,2,0.10843,R,249,Patrice Bergeron,BOS,1043.5,54,2.38,1.0,2,3.0,3,21,0.92,66,2.91,0,,2,13,,75,90,98,38,1.68,437
49,15,49,0.5341,2,82,28,Pavelski,0,8,8470794,42,77,0.93902,C,13,27,20222023,0,1,0.15217,R,184,Joe Pavelski,DAL,1063.3658,64,2.64,3.0,0,3.0,4,57,2.35,93,3.83,4,,5,9,,60,78,75,32,1.32,337
20,3,23,,1,78,4,Giordano,0,53,8470966,27,24,0.30769,D,0,0,20222023,1,1,0.03738,L,107,Mark Giordano,TOR,1137.0256,147,5.96,1.0,1,2.0,1,48,1.94,60,2.43,1,,2,3,,40,46,78,20,0.81,231
33,28,50,0.44444,3,73,42,Ovechkin,1,48,8471214,-16,75,1.02739,L,14,25,20222023,0,0,0.14285,R,294,Alex Ovechkin,WSH,1212.2465,23,0.93,0.0,6,6.0,9,52,2.11,188,7.64,4,,7,10,,97,118,166,31,1.26,578
56,16,47,0.49299,3,82,27,Malkin,0,82,8471215,-12,83,1.01219,C,11,36,20222023,0,0,0.1125,L,240,Evgeni Malkin,PIT,1114.8292,33,1.29,0.0,0,0.0,3,105,4.13,53,2.08,0,,6,3,,64,73,104,82,3.22,417
39,9,40,0.51587,6,72,16,Wheeler,1,46,8471218,-3,55,0.76388,R,7,15,20222023,0,0,0.12698,R,126,Blake Wheeler,WPG,1022.6527,35,1.71,4.0,2,6.0,3,27,1.32,54,2.64,0,,2,5,,65,72,56,45,2.2,254
4,2,5,,2,46,2,Goligoski,1,16,8471274,-9,6,0.13043,D,0,1,20222023,0,0,0.03174,L,63,Alex Goligoski,MIN,1060.0,67,4.94,0.0,0,0.0,0,17,1.25,33,2.43,1,,1,1,,9,12,41,9,0.66,116
